GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
190123A	53.175	45.505	1.7	24.4
190114C	54.503	-26.938	1.0	361.5
190114B	174.868	18.882	2.3	26.5
190114A	65.543	2.196	1.7	66.6
190109B	55.563	63.592	1.4	5.92
190109A	33.213	38.111	1.0	115.0
190106A	29.877	23.839	1.0	76.8
190103B	212.561	35.254	1.3	19.5
181228A	49.831	13.212	1.0	257.3
181213A	248.210	78.500	1.9	15.31
181203A	108.341	-39.783	1.3	15.30
181202A	280.737	27.976	2.0	6.56
181126A	152.350	-29.698	1.5	2.09
181123B	184.354	14.619	1.9	0.26
181110A	302.330	-36.878	1.4	138.4
181103A	197.093	52.220	2.0	8.38
181030A	146.916	14.657	1.1	304.7
181023A	248.322	19.581	2.0	58.0
181022A	56.808	-29.374	2.6	6.74
181020A	13.987	-47.372	1.0	238.0
181013A	207.661	40.107	3.3	104.1
181010A	52.574	-23.023	1.4	16.4
181003A	52.481	-33.991	1.7	21.5
181002A	64.739	15.248	1.8	63.4
180930A	76.894	-25.124	2.2	6.80
180925A	315.212	-64.450	1.5	81.70
180924A	49.207	-58.524	1.4	95.1
180905A	91.038	-4.592	1.7	165.3
180904A	274.260	46.640	2.4	5.40
180828A	268.704	-25.791	1.0	14.0
180823A	210.358	14.901	1.0	80.3
180821A	7.739	-38.612	2.3	64.00
180818B	104.227	39.310	1.7	134.4
180818A	169.698	-48.344	2.3	13.7
180812A	245.839	74.674	2.3	16.51
180809B	299.712	-15.293	1.0	233.2
180805B	25.877	-17.475	3.1	122.5
180805A	167.575	-45.327	2.1	1.68
180728A	253.574	-54.037	1.0	8.68
180727A	346.639	-63.066	1.1	1.1
180721A	347.708	4.871	1.8	47.6
180720C	265.655	-26.634	1.7	124.2
180720B	0.528	-2.925	1.2	n/a
180709A	38.086	60.333	1.6	215.1
180706A	181.687	66.044	1.1	42.7
180705A	212.605	-11.640	2.1	123.2
180704A	32.605	69.965	1.3	19.7
180630A	48.885	-87.476	1.0	18.85
180626A	243.569	14.759	1.0	30.07
180624A	318.096	-2.356	1.3	486.4
180623A	214.528	-60.268	1.0	114.9
180620B	357.514	-57.954	1.0	198.8
180620A	279.890	23.239	1.0	23.16
180618A	169.948	73.825	1.5	47.4
180614A	3.073	46.969	1.9	7.04
180613A	211.545	-43.082	1.8	50.8
180602A	142.343	32.080	1.5	45.4
180514A	197.382	36.970	1.3	46.9
180512A	201.940	21.404	1.9	24.0
180510B	77.965	-62.320	1.7	134.3
180510A	276.335	-31.917	1.0	40.4
180504A	331.144	-14.665	1.3	88.3
180425A	64.450	-32.949	1.5	11.2
180418A	170.132	24.925	1.2	2.29
180411A	356.840	66.790	1.0	77.5
180410A	95.974	12.804	1.9	100.7
180404B	53.390	-50.213	1.0	111.5
180404A	83.540	-37.168	1.1	35.2
180402A	251.923	-14.928	2.0	0.18
180331B	196.781	61.735	2.0	147.0
180331A	66.005	13.386	1.9	48.0
180329B	82.905	-23.694	1.8	210.0
180325A	157.416	24.461	1.1	94.1
180324A	76.581	56.744	1.4	7.2
180316A	265.422	0.737	1.5	87.0
180314B	297.855	23.634	2.0	73.0
180314A	99.208	-24.530	3.1	51.2
180311A	3.379	-54.491	2.3	23.0
180224A	202.675	38.073	1.3	10.9
180222A	256.537	-36.819	1.6	64.0
180205A	126.819	11.536	1.1	15.5
180204A	330.123	30.852	1.1	1.16
180115A	12.040	-15.632	1.8	40.9
180111A	149.782	48.254	1.0	50.6
180103A	159.585	-53.555	3	n/a
180102A	203.078	62.161	1.5	10.8
171222A	148.273	35.624	1.7	174.8
171216A	212.013	-50.500	2.1	30.0
171212A	293.920	20.597	1.7	320
171211A	98.154	-58.689	1.8	2.32
171209A	139.387	-30.523	1.2	161.7
171205A	167.423	-12.599	1.6	189.4
171123A	186.198	32.503	2.4	58.5
171120A	163.774	22.461	1.2	64
171115A	278.392	9.118	1.5	38.2
171102B	288.096	22.434	2.1	17.8
171027A	61.683	-2.601	1.2	96.6
171020A	39.260	15.199	1.8	41.9
171010B	34.123	-54.410	1.6	30.4
171007A	135.635	42.930	3.6	105
171004A	139.150	52.684	1.3	107.1
171001A	22.080	-11.928	2.2	22.8
170921A	26.840	30.880	1.8	28.9
170912B	215.464	-61.997	1.0	19.6
170912A	167.386	-54.343	2.1	21.9
170906C	128.659	70.805	1.0	48.4
170906B	232.221	-28.251	3	n/a
170906A	203.949	-47.088	1.3	88.1
170903A	254.532	34.985	1.3	29.2
170827A	276.189	-40.202	1.9	94.0
170822A	94.375	55.000	2.1	64
170813A	201.057	-5.527	3.4	75.5
170810A	187.928	3.664	1.0	152.4
170804A	6.404	-64.781	1.3	43.4
170803A	174.947	-16.312	1.0	3.82
170728B	238.019	70.111	2.3	47.7
170728A	58.901	12.169	2.1	1.25
170714A	34.322	1.962	2.2	n/a
170711A	45.782	47.845	1.0	31.3
170710A	231.851	-38.523	3.5	32.6
170705A	191.708	18.298	1.0	217.3
170629A	129.963	-46.585	1.3	34.4
170626A	165.409	56.479	1.0	12.94
170607A	7.358	9.225	1.0	n/a
170604A	342.645	-15.406	1.4	26.70
170531B	286.901	-16.414	1.5	164.13
170531A	121.218	-14.017	2.4	26.74
170526A	4.723	1.277	2.4	7.9
170524B	90.864	-17.086	3	46.4
170524A	319.488	48.603	2.0	0.10
170519A	163.429	25.374	1.5	216.4
170516A	41.543	-55.929	1.6	36.78
170428A	330.051	26.913	1.2	0.20
170419A	79.854	-21.433	1.7	8.18
170405A	219.824	-25.236	1.3	164.7
170331A	323.778	-24.406	2.0	17.57
170330A	283.331	-13.458	1.6	144.73
170318B	284.229	6.335	3.7	160.0
170318A	305.662	28.408	1.2	133.7
170317A	93.087	50.500	1.0	11.94
170311A	280.539	-30.041	2.0	6.32
170306A	263.087	-44.765	2.4	17.8
170208B	127.145	-9.027	1.0	128.07
170208A	166.544	-46.786	1.4	7.45
170206B	271.784	11.175	2.2	13.36
170205A	262.157	-0.058	1.0	26.1
170202A	152.526	5.021	1.0	46.2
170127B	19.997	-30.340	1.9	0.51
170127A	174.382	-45.827	2.4	62.26
170126A	263.623	-64.755	1.0	9.5
170115A	332.145	13.750	1.9	48.0
170113A	61.735	-71.933	1.3	20.66
170111A	20.688	-32.541	2.1	29.9
161224A	204.820	-18.028	1.9	47.04
161220A	350.841	-47.480	2.0	6
161219B	91.717	-26.801	1.0	6.94
161217A	150.658	52.344	2.1	18.2
161214B	3.857	7.342	1.0	24.8
161202A	356.904	19.652	1.0	n/a
161129A	316.221	32.137	1.8	35.53
161117B	298.830	-67.681	1.5	152.51
161117A	322.053	-29.612	1.0	125.7
